"id","drug_id","model_id","response_type","value","tissue_id","patient_id","dataset_id","patient","drug_name","standard_name","targets","treatment_type","class","class_name","source","batch_id","type","model","link","row"
"1890","73","M15.1.F57","mRECIST","PD","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F57","https://docs.google.com/spreadsheets/d/1t83UOHDmGRSoMs5wJgPPifmj3AEmo9-IhgzEnbOHPNw/edit?usp=drivesdk","15"
"1890","73","M15.1.F57","best.average.response","35.7926","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F57","https://docs.google.com/spreadsheets/d/1t83UOHDmGRSoMs5wJgPPifmj3AEmo9-IhgzEnbOHPNw/edit?usp=drivesdk","15"
"1890","73","M15.1.F57","slope","85.1331","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F57","https://docs.google.com/spreadsheets/d/1t83UOHDmGRSoMs5wJgPPifmj3AEmo9-IhgzEnbOHPNw/edit?usp=drivesdk","15"
"1890","73","M15.1.F57","AUC","472.6426","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F57","https://docs.google.com/spreadsheets/d/1t83UOHDmGRSoMs5wJgPPifmj3AEmo9-IhgzEnbOHPNw/edit?usp=drivesdk","15"
"1890","73","M15.1.F57","survival","60.0000","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F57","https://docs.google.com/spreadsheets/d/1t83UOHDmGRSoMs5wJgPPifmj3AEmo9-IhgzEnbOHPNw/edit?usp=drivesdk","15"
"1891","73","M5.1.F78","mRECIST","PR","1","55","7","47904","BMN673","","","","","","","319","treatment","M5.1.F78","https://docs.google.com/spreadsheets/d/16q4mWNY95xXqDwfZWCS_0AHZwBMFOuHIYvF28UIfaNE/edit?usp=drivesdk","5"
"1891","73","M5.1.F78","best.average.response","-21.7138","1","55","7","47904","BMN673","","","","","","","319","treatment","M5.1.F78","https://docs.google.com/spreadsheets/d/16q4mWNY95xXqDwfZWCS_0AHZwBMFOuHIYvF28UIfaNE/edit?usp=drivesdk","5"
"1891","73","M5.1.F78","slope","-69.2758","1","55","7","47904","BMN673","","","","","","","319","treatment","M5.1.F78","https://docs.google.com/spreadsheets/d/16q4mWNY95xXqDwfZWCS_0AHZwBMFOuHIYvF28UIfaNE/edit?usp=drivesdk","5"
"1891","73","M5.1.F78","AUC","131.2729","1","55","7","47904","BMN673","","","","","","","319","treatment","M5.1.F78","https://docs.google.com/spreadsheets/d/16q4mWNY95xXqDwfZWCS_0AHZwBMFOuHIYvF28UIfaNE/edit?usp=drivesdk","5"
"1891","73","M5.1.F78","survival","111.0000","1","55","7","47904","BMN673","","","","","","","319","treatment","M5.1.F78","https://docs.google.com/spreadsheets/d/16q4mWNY95xXqDwfZWCS_0AHZwBMFOuHIYvF28UIfaNE/edit?usp=drivesdk","5"
"1892","73","M15.1.F159","mRECIST","SD","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F159","https://docs.google.com/spreadsheets/d/1ZYDnhMaMf-7DCYIUcCCRkYgXK5KlhjxwFCNCaC7dAWU/edit?usp=drivesdk","15"
"1892","73","M15.1.F159","best.average.response","21.7266","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F159","https://docs.google.com/spreadsheets/d/1ZYDnhMaMf-7DCYIUcCCRkYgXK5KlhjxwFCNCaC7dAWU/edit?usp=drivesdk","15"
"1892","73","M15.1.F159","slope","7.4401","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F159","https://docs.google.com/spreadsheets/d/1ZYDnhMaMf-7DCYIUcCCRkYgXK5KlhjxwFCNCaC7dAWU/edit?usp=drivesdk","15"
"1892","73","M15.1.F159","AUC","146.5711","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F159","https://docs.google.com/spreadsheets/d/1ZYDnhMaMf-7DCYIUcCCRkYgXK5KlhjxwFCNCaC7dAWU/edit?usp=drivesdk","15"
"1892","73","M15.1.F159","survival","124.0000","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F159","https://docs.google.com/spreadsheets/d/1ZYDnhMaMf-7DCYIUcCCRkYgXK5KlhjxwFCNCaC7dAWU/edit?usp=drivesdk","15"
"1893","73","M15.1.F384","mRECIST","PR","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F384","https://docs.google.com/spreadsheets/d/16mzromSyktDxfQC2F_okAOhubpsKavuQ7wvASGWrhEg/edit?usp=drivesdk","15"
"1893","73","M15.1.F384","best.average.response","-30.8881","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F384","https://docs.google.com/spreadsheets/d/16mzromSyktDxfQC2F_okAOhubpsKavuQ7wvASGWrhEg/edit?usp=drivesdk","15"
"1893","73","M15.1.F384","slope","-71.4534","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F384","https://docs.google.com/spreadsheets/d/16mzromSyktDxfQC2F_okAOhubpsKavuQ7wvASGWrhEg/edit?usp=drivesdk","15"
"1893","73","M15.1.F384","AUC","147.1095","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F384","https://docs.google.com/spreadsheets/d/16mzromSyktDxfQC2F_okAOhubpsKavuQ7wvASGWrhEg/edit?usp=drivesdk","15"
"1893","73","M15.1.F384","survival","69.0000","1","55","7","47904","BMN673","","","","","","","319","treatment","M15.1.F384","https://docs.google.com/spreadsheets/d/16mzromSyktDxfQC2F_okAOhubpsKavuQ7wvASGWrhEg/edit?usp=drivesdk","15"
